id,page_views,downloads,columns,agency,d,r,g,b
622h-mkfu,462,164.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
j9q2-y739,461,97.0,3,Mayor's Office of Data Analytics (MODA),13.0,0.7,0.7,0.0
irhv-jqz7,460,1583.0,85,Department of Finance (DOF),703.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
t5qg-w9sq,459,186.0,230,Department of Education (DOE),324.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
wue3-68ab,457,577.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
7kc8-z939,456,1026.0,18,Mayor's Office of Contract Services (MOCS),693.0,0.8,0.9215686274509803,0.7725490196078432
5mw2-hzqx,456,1542.0,46,Department of Finance (DOF),707.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
tvfr-dhen,452,446.0,16,Department of Education (DOE),723.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
udt3-taj7,451,116.0,0,Department of Transportation (DOT),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
2bh6-qmgg,450,1523.0,15,Department of Education (DOE),341.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
dpm2-m9mq,450,958.0,37,Landmarks Preservation Commission (LPC),747.0,0.7,0.7,0.0
j7wp-ax4x,450,744.0,2,Human Resources Administration (HRA),41.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
yhdx-itry,450,429285.0,19,Department of Transportation (DOT),736.0,0.984313725490196,0.5019607843137255,0.4470588235294118
aa5u-mys6,449,1827.0,7,Department of Finance (DOF),28.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
5ziv-wcy4,448,303.0,35,Mayor’s Office to End Domestic and Gender-Based Violence,781.0,0.7,0.7,0.0
6246-94tp,448,892.0,7,School Construction Authority (SCA),33.0,1.0,1.0,0.7019607843137254
h4jn-x3ty,447,1237.0,1,Office of Emergency Management (OEM),1.0,0.7,0.7,0.0
tesz-9suw,447,1056.0,13,School Construction Authority (SCA),856.0,1.0,1.0,0.7019607843137254
pjgc-h7uv,447,386.0,17,Law Department (LAW),23.0,0.7,0.7,0.0
tpix-uwie,447,413.0,0,Office of Emergency Management (OEM),0.0,0.7,0.7,0.0
96ay-ea4r,447,206.0,32,Department of Transportation (DOT),96.0,0.984313725490196,0.5019607843137255,0.4470588235294118
fu34-wamz,446,1746.0,41,NYC Independent Budget Office (IBO),7.0,0.7,0.7,0.0
sms6-sm5p,446,321.0,0,Department of Information Technology & Telecommunications (DoITT),0.0,1.0,1.0,0.7019607843137254
f55k-p6yu,445,239.0,21,Police Department (NYPD),6.0,1.0,1.0,0.7019607843137254
gfqj-f768,444,126.0,12,0,69.0,0.7,0.7,0.0
9p9k-tusd,443,0.0,0,Department of Transportation (DOT),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
i37z-2ty9,443,1212.0,24,Department of Education (DOE),407.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
948r-3ads,442,1872.0,8,Department of Finance (DOF),28.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
qrb4-aqtx,441,360.0,14,Manhattan Borough President (MBPO),793.0,0.7,0.7,0.0
4jyz-6b7u,440,85.0,44,Department of Parks and Recreation (DPR),522.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
niy5-4j7q,439,1406.0,57,Department of Finance (DOF),703.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
7yds-6i8e,438,1465.0,9,Department of Education (DOE),658.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
